Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,23.049999,24.510000,22.990000,24.309999,24.309999,3549300
2018-08-08,24.180000,25.049999,24.000000,24.490000,24.490000,2172400
2018-08-09,24.559999,25.200001,23.760000,24.750000,24.750000,1937700
2018-08-10,24.500000,25.209999,24.110001,24.209999,24.209999,2295100
2018-08-13,24.219999,24.610001,22.590000,22.799999,22.799999,2661000
2018-08-14,22.910000,23.549999,22.320000,23.000000,23.000000,1719500
2018-08-15,22.799999,22.889999,21.799999,22.420000,22.420000,1621300
2018-08-16,22.530001,23.040001,22.240000,22.850000,22.850000,1579200
2018-08-17,22.840000,23.000000,22.000000,22.480000,22.480000,1223100
2018-08-20,22.330000,23.309999,22.250000,22.959999,22.959999,1274400
2018-08-21,22.950001,23.440001,22.900000,23.160000,23.160000,1194600
2018-08-22,23.209999,23.910000,23.059999,23.889999,23.889999,1289300
2018-08-23,23.910000,24.610001,23.910000,24.320000,24.320000,1662200
2018-08-24,24.340000,24.900000,23.620001,23.889999,23.889999,1573400
2018-08-27,24.049999,24.049999,22.469999,22.570000,22.570000,1719900
2018-08-28,22.790001,22.920000,21.950001,22.680000,22.680000,1212900
2018-08-29,22.629999,22.879999,21.940001,22.180000,22.180000,1727000
2018-08-30,22.030001,22.530001,21.760000,21.889999,21.889999,1481000
2018-08-31,21.790001,22.100000,21.540001,21.969999,21.969999,977100
2018-09-04,21.950001,22.940001,21.650000,22.920000,22.920000,1447500
2018-09-05,22.990000,23.450001,21.280001,21.530001,21.530001,2345200
2018-09-06,21.549999,22.000000,20.000000,21.080000,21.080000,2331100
